playerID,Total_Wins,Total_Losses,Total_Games,Win_Percentage,First_Yr_Mgr,Last_Yr_Mgr,Yrs_As_Mgr,Avg_Rank
boyerke01,166.0,190.0,357.0,0.4649859943977591,1978.0,1980.0,3.0,4.0
bradlbi01,97.0,98.0,198.0,0.4898989898989899,1905.0,1914.0,2.0,5.0
bragabo01,443.0,478.0,927.0,0.4778856526429342,1956.0,1966.0,7.0,5.571428571428571
brenlbo01,303.0,262.0,565.0,0.536283185840708,2001.0,2004.0,4.0,2.5
bresnro01,328.0,432.0,775.0,0.4232258064516129,1909.0,1915.0,5.0,5.8
bristda99,657.0,764.0,1424.0,0.461376404494382,1966.0,1980.0,12.0,5.083333333333333
brownda99,19.0,31.0,50.0,0.38,2010.0,2010.0,1.0,4.0
brownfr99,9.0,32.0,41.0,0.21951219512195122,1882.0,1882.0,1.0,8.0
brownmo01,50.0,63.0,114.0,0.43859649122807015,1914.0,1914.0,1.0,8.0
brownto01,64.0,72.0,137.0,0.46715328467153283,1897.0,1898.0,2.0,8.5
bruckea01,3.0,2.0,5.0,0.6,1952.0,1952.0,1.0,6.0
buckeal99,488.0,539.0,1043.0,0.4678811121764142,1889.0,1904.0,10.0,5.4
buffich01,61.0,54.0,116.0,0.5258620689655172,1890.0,1890.0,1.0,5.0
burdoja01,30.0,24.0,54.0,0.5555555555555556,1883.0,1883.0,1.0,1.0
burkeji01,206.0,236.0,445.0,0.46292134831460674,1905.0,1920.0,4.0,5.0
burnhwa99,6.0,22.0,28.0,0.21428571428571427,1887.0,1887.0,1.0,8.0
burnsto01,187.0,170.0,364.0,0.5137362637362637,1892.0,1899.0,3.0,5.333333333333333
burwebi01,1.0,0.0,1.0,1.0,1947.0,1947.0,1.0,7.0
bushdo01,497.0,539.0,1045.0,0.4755980861244019,1923.0,1933.0,7.0,4.857142857142857
butleor99,17.0,36.0,53.0,0.32075471698113206,1883.0,1883.0,1.0,7.0
byrnech99,174.0,172.0,354.0,0.4915254237288136,1885.0,1887.0,3.0,4.666666666666667
callami01,163.0,161.0,324.0,0.5030864197530864,2018.0,2019.0,2.0,3.5
callani01,394.0,458.0,866.0,0.45496535796766746,1903.0,1917.0,7.0,5.714285714285714
campaco01,27.0,14.0,42.0,0.6428571428571429,1890.0,1890.0,1.0,3.0
cantijo99,158.0,297.0,465.0,0.33978494623655914,1907.0,1909.0,3.0,7.666666666666667
careyma01,146.0,161.0,311.0,0.4694533762057878,1932.0,1933.0,2.0,4.5
careyto01,27.0,21.0,49.0,0.5510204081632653,1873.0,1874.0,2.0,2.5
carribi02,489.0,500.0,1003.0,0.48753738783649053,1913.0,1929.0,7.0,4.571428571428571
carutbo01,16.0,32.0,50.0,0.32,1892.0,1892.0,1.0,11.0
cashke01,414.0,396.0,810.0,0.5111111111111111,2015.0,2019.0,5.0,3.4
cavarph01,169.0,213.0,384.0,0.4401041666666667,1951.0,1953.0,3.0,6.666666666666667
cayloop99,163.0,182.0,353.0,0.46175637393767704,1885.0,1887.0,3.0,4.666666666666667
chancfr01,946.0,648.0,1622.0,0.5832305795314426,1905.0,1923.0,11.0,3.1818181818181817
chapmbe01,196.0,276.0,474.0,0.41350210970464135,1945.0,1948.0,4.0,6.75
chapmja01,351.0,502.0,869.0,0.4039125431530495,1876.0,1892.0,11.0,6.454545454545454
chaseha01,86.0,80.0,167.0,0.5149700598802395,1910.0,1911.0,2.0,4.0
clappjo01,174.0,237.0,420.0,0.4142857142857143,1872.0,1883.0,6.0,6.333333333333333
clarkda05,4.0,9.0,13.0,0.3076923076923077,2009.0,2009.0,1.0,5.0
clarkfr01,1602.0,1181.0,2829.0,0.5662778366914104,1897.0,1915.0,19.0,3.789473684210526
clemeja01,13.0,6.0,19.0,0.6842105263157895,1890.0,1890.0,1.0,3.0
clintji01,0.0,11.0,11.0,0.0,1872.0,1872.0,1.0,9.0
cobbty01,479.0,444.0,933.0,0.5133976420150054,1921.0,1926.0,6.0,4.0
cochrmi01,348.0,250.0,600.0,0.58,1934.0,1938.0,7.0,2.0
cohenan01,1.0,0.0,1.0,1.0,1960.0,1960.0,1.0,8.0
colembo01,128.0,165.0,295.0,0.43389830508474575,1943.0,1945.0,3.0,6.0
colemje01,73.0,89.0,163.0,0.44785276073619634,1980.0,1980.0,1.0,6.0
collied01,174.0,160.0,336.0,0.5178571428571429,1924.0,1926.0,3.0,5.333333333333333
colliji01,455.0,376.0,842.0,0.5403800475059383,1901.0,1906.0,6.0,3.1666666666666665
collish01,73.0,134.0,208.0,0.35096153846153844,1931.0,1932.0,2.0,7.0
collite99,995.0,1017.0,2012.0,0.4945328031809145,1994.0,2017.0,13.0,2.6923076923076925
comisch01,840.0,541.0,1410.0,0.5957446808510638,1883.0,1894.0,12.0,3.1666666666666665
connoro01,8.0,37.0,46.0,0.17391304347826086,1896.0,1896.0,1.0,11.0
cookedu01,6.0,6.0,13.0,0.46153846153846156,1948.0,1948.0,1.0,6.0
coombja01,18.0,44.0,63.0,0.2857142857142857,1919.0,1919.0,1.0,8.0
coonejo01,20.0,25.0,46.0,0.43478260869565216,1949.0,1949.0,1.0,4.0
coopece01,171.0,170.0,341.0,0.501466275659824,2007.0,2009.0,3.0,3.6666666666666665
coopedo01,1.0,1.0,2.0,0.5,2011.0,2011.0,1.0,3.0
coraal01,192.0,132.0,324.0,0.5925925925925926,2018.0,2019.0,2.0,2.0
corrapa01,572.0,634.0,1211.0,0.47233691164327,1978.0,1987.0,10.0,4.4
corrire01,52.0,72.0,125.0,0.416,1950.0,1950.0,1.0,6.0
cottich01,98.0,119.0,217.0,0.45161290322580644,1984.0,1986.0,3.0,6.0
counscr01,405.0,381.0,786.0,0.5152671755725191,2015.0,2019.0,5.0,2.6
coxbo01,2504.0,2001.0,4508.0,0.5554569653948536,1978.0,2010.0,29.0,2.413793103448276
